Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer,label
517502,0877 2286290,"09815157018, 09501620619",0788 2219888,0877 2286290,modelbloodbanktpt2010@gmail.com,http://redcrosskarnataka.org/,Dr. L.Krishna,	,9848369221,nandkishor@arpanbloodbank.org,1
517507,0877 2287777,"09815157018, 09501620619",0788 2219888,0877-2286116,svimshosp ,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
517507,0251 2442283,9949190197,0788 2219888,8772230367,supdtgmhtirupati@yahoo.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
517501,0877 2264622,9849099750,0788 2219888, 0565 2443310,ttdcentralhospital@gmail.com,http://redcrosskarnataka.org/,"Dr. J. Padmaja, Dr. R. V. S. Muralidhar ",8772264623,9959905559,ttdcentralhospital@gmail.com,1
517501,0877 6667671 ,9246999571,0788 2219888, 0565 2443310,svsctbloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
533201,0251 2442283,9989106236,0788 2219888, 0565 2443310,bloodbankahamp@gmail.com,http://redcrosskarnataka.org/,Dr. G. KARNAL RAJU,9989106236,9989106236,bloodbankahamp@gmail.com,1
533201,"08856 237996, 08856 237997, 08856 237998",9949993495,0788 2219888,08856 237985,Principal07kims@yahoo.co.in,http://redcrosskarnataka.org/,"Dr. E. Sanjeev Rao, Dr. P. Subba Rao	",	,"07702998542, 09440542842	",kimsbbampeg@gmail.Com,1
533201,0251 2442283,"09505152234, 09491219991",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. G. Karnal Raju		,	,09989106236	,bloodbankahamp@gmail.com	,1
533001,0884 2302008,9390207027,0788 2219888,0884 2358474,bloodbankgghkkd@gmail.com,http://redcrosskarnataka.org/,Dr. K. Satyavani,9390207027,9822324340,drsatyavani@yahoo.co.in,1
533004,0884 2385800,9848071868,0788 2219888, 0565 2443310,nraopydah@yahoo.co.in,http://www.Indianredcross-eg.org,Dr. Nageswar Rao				,	,9848071868,redcrossbloodbank@yahoo.com,1
533001,"0884 2367366, ",9494673434,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. P. Kamaraju,	,09848620802			,rotarybloodbank.kakinada@gmail.com,1
533101,0251 2442283,9849520969,0788 2219888, 0565 2443310,govtbloodbank.rjy@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
533296,0883 2484999,"09815157018, 09501620619",0788 2219888,0883 2484888,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,gslbloodbank@gmail.com,1
533103,"0883 2464745, 0883 246569878, 0883 2461493","09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. M. C. Ramesh	,	,09642359555		,swantantrabbrjy@gmail.com,1
533103,0833-2473050,9885186533,0788 2219888, 0565 2443310,dvbbrjy@gmail.com,http://redcrosskarnataka.org/,Dr K Srinivasa Murthy		,	,9949003311	,rjydvbb@gmail.com,1
533401,08854 252333,"09849030908, 09505615556",0788 2219888, 0565 2443310,tunibloodbank@yahoo.com,http://redcrosskarnataka.org/,Dr. C. Salmon raj,8854252333,09849030908		,tunibloodbank@yahoo.com,1
533401,08854 251123,"09347911130, 09948456739",NA			, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. D. Ratnalal Naik,	,9494952186,sakthibloodbank@gmail.com	,1
522001,0863 2220035 (Ext No: 280),9966641474,0788 2219888, 0565 2443310,bloodbank.ggh.gnt@gmail.com,http://redcrosskarnataka.org/,"Dr. Anasuyamma, Dr. Maruthi Devi 					",	,"09966641474, 09963229506",bloodbank.ggh.gnt@gmail.com,1
522004,0251 2442283,9985322589,0788 2219888, 0565 2443310,redcrossbloodbankguntur@yahoo.co.in,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
522004,0863 2215656,"09848181601, 08121751295	",0788 2219888,NA							,na,http://redcrosskarnataka.org/,Dr. Y. Prabhavathi	,	,9985322589,redcrossbloodbankguntur@yahoo.co.in,1
522001,"0863 2336198, 0863 2336199 ",9246600777,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Mr. Srinivas (Project Director)           ,	,9440262674,lionsvisionbloodbank@gmail.com,1
522001,0251 2442283,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. V. V. Subba Rao,	,9394110333,"prabhudasmahe2@gmail.com,Drvvsra36@yahoo.com",1
522001,"0863 6638222, 0863 6639222",9246448899,0788 2219888, 0565 2443310,needsbloodbankguntur@gmail.com,http://redcrosskarnataka.org/,"Dr. Sivaram Prasad, Dr. Kishore 		",	,9246448899,srineeds@gmail.com,1
522001,0863 2219955,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,Srilakshmibloodbank@gmail.com,1
522001,"0863 2322700, 0863 2320386 ",9493819977,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Sr. Dr. Any,	,9441065463,Stjh_gnt@yahoo.com,1
522001,0863 2339444 ,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Mr. Sashi Dhar (Manager)    ,9032005616,9822324340,gtrbb@ntrtrust.org,1
522019,"0863 2288555, 0863 2288556 (Ext No. 234) ","09815157018, 09501620619",0788 2219888, 0565 2443310,katuribloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. T. Mahathi.,	,9160983595,katuribloodbank@gmail.com,1
522503,"08645 236777, 08645 237401, 08645 230101","09849989813, 09849989843",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. K. M. N. Prasad	,	,9849948887,bloodbanknri@yahoo.com,1
522501,0866 2489700 (Ext No.102),"09815157018, 09501620619",0788 2219888,0866 2498400,na,http://www.manipalhospital.org,Dr. C. Sita Latha,	,9440108197,c.sitalatha@yahoo.com,1
522601,8647224455,"09885222155, 09885838866",08647 224455, 0565 2443310,nrtbloodbankircs@gmail.com,http://redcrosskarnataka.org/,Dr. Babu Reddy ,9885222155,9885222156,ntrbloodbankircs@gmail.com,1
522601,9542628888,9985148884,0788 2219888, 0565 2443310,nrtbioodbank@gmail.com,http://redcrosskarnataka.org/,Dr. K. Priyanka 	,	,7799822212,nrtbloodbank@gmail.com,1
522413,08649 254567,9849212042,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. C. C. Subba Rao,	,8332812042,athotasunilkumar@gmail.com,1
522265,08648 223939,9177883353,0788 2219888,NA				,rplredcrossbb@gmail.com,http://redcrosskarnataka.org/,Dr. V. Veera Raghavaiah,08648 - 223939,9177883353,dr.raghava2015@gmail.com,1
522201,0251 2442283,9866686760,0788 2219888, 0565 2443310,tenalibloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
522202,0251 2442283,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Sujhatha,8985100299,9822324340,tenalibloodbank@gmail.com,1
522201,"08644 231222, 08644 654123",9247155622,0788 2219888, 0565 2443310,maruthi_nagalingam@yahoo.com	,http://redcrosskarnataka.org/,Dr. C. Rajesh,	,9949934144,rudhira.voluntary@gmail.com,1
522201,0251 2442283,09849833321	,NA		, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Siva Vara Prasad,	,8143911234,bestrotarybloodbank@gmail.com,1
521301,08674 245040,7799990904,0788 2219888, 0565 2443310,areahospital.gudivada@gmail.com,http://redcrosskarnataka.org/,Dr. Satyanarayana,	,9848607402,areahospital.gudivada@gmail.com,1
521001,08672 230605,"09815157018, 09501620619",0788 2219888, 0565 2443310,drprcbloodbankmtm@gmail.com,http://redcrosskarnataka.org/,Dr. S. V. Ramana,	,8019905040,drprcbloodbankmtm@gmail.com,1
520007,9866686760,8662452244,0788 2219888, 0565 2443310,gghbbvij@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
521001, 08672 245040,"09815157018, 09501620619",0788 2219888, 0565 2443310,dhmtmbb@gmail.com,http://redcrosskarnataka.org/,DR .A.B.S. SRINIVASARAO,	,9822324340,nandkishor@arpanbloodbank.org,1
520003,"0866 2570082, 0866 6464002",9848124977,0788 2219888, 0565 2443310,redcrosskrishna@gmail.com,http://redcrosskarnataka.org/,Dr. S. Madhana Mohan,	,9441902311,redcrosskrishna@gmail.com,1
520002,0866 2433199,9392120187,0788 2219888, 0565 2443310,vijayasribloodbankvja @gmail.com,http://redcrosskarnataka.org/,Dr.T.Gopala Krishna Murthy,9392120187,9701233199,drtgopalakrishnamurthy @yahoo.com,1
520002,0866 2434417,"09815157018, 09501620619",0788 2219888, 0565 2443310,lionsbloodbank@yahoo.com,http://redcrosskarnataka.org/,Dr. Kiran Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
520 008,"0866 2452244, 0866 2453488","09815157018, 09501620619",0788 2219888, 0565 2443310,gghbbvij@gmail.com	,http://redcrosskarnataka.org/,Dr. V. Kiranmayee,	,9440357428,"kiranmayi.bogarapu@gmail.com, ",1
520010,"0866 2497977, 0866 645977",9246289777,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Rama Reddy,	,9246289777,chaitanyabloodbank@gmail.com,1
492001,0866 2554701,9848141550,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
520 002,0866 2572057,"09815157018, 09501620619",0788 2219888, 0565 2443310,annshospitall@gmail.com,http://redcrosskarnataka.org/,Dr. Rama,	,9849668937,nandkishor@arpanbloodbank.org,1
520 003,2570082,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
521286,08676 257311,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ranga Rao,	,09866500278	,bb.drpsims@gmail.com,1
492001,0866 2435888,098498 33321,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
520002,0866 2573636,9849118077,0788 2219888, 0565 2443310,lionsbloodbank@yahoo.com,http://redcrosskarnataka.org/,Dr K S R K Prasad,	,9822324340,lionsbloodbank@yahoo.com,1
520002,0866 2434499,9394777899,0788 2219888, 0565 2443310,surakshabloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. C. S. R. Prasad,0866 2434499	,9394777899,surakshabloodbank@gmail.com,1
520008,0866 2541414,8498061158,0788 2219888, 0565 2443310,na,http://www.aayushhospitals.com,"Dr. P. Padma, Dr. Prahlad Rao	",	,"08498061186, 09848377347",bloodbank@aayushhospitals.com,1
521456,"0866 6500000, 0866 6545454","09815157018, 09501620619",0788 2219888, 0565 2443310,nimrabloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
518301,0251 2442283,9440503302,0788 2219888, 0565 2443310,drhsivareddy123@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
518301,0251 2442283,9440503302,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Shiva Reddy	,	,9440503302,ircsbloodbank@gmail.com,1
518002,0251 2442283,9985676311,0788 2219888, 0565 2443310,knlgghbloodbank@gmail.comsupdtgghknl@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,kulgghbloodbank@gmail.com,1
518002,08518 255347,9490601960,0788 2219888, 0565 2443310,indianredcrossknl@yahoo.com,http://redcrosskarnataka.org/,"Dr. M. Venkatayya, Dr. Mumtaz Aziz",	,"09440251277, 09490601960",ircsbloodbankknl@gmail.com,1
518002,08518 283964,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,vbghbbknl@gmail.com,1
518002,08518 22294,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
518004,08518 223131,9966662331,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Rahul Balamaddayya	,	,9866659414,rrbloodbank@yahoo.in,1
518502,8514221033,9959912781,0788 2219888, 0565 2443310,bbdhnandyal@gmail.com,http://redcrosskarnataka.org/,Dr. K. Sunil Kumar,8514221033,9959912781,bbdhnandyal@gmail.com,1
518501,0251 2442283,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
518101,0251 2442283,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
523155,8520026320,9441743892,0788 2219888, 0565 2443310,shaikabdulhafiz@gmail.com,http://redcrosskarnataka.org/,Dr. M. Priyamvada,	,9441743892,ahchirala@yahoo.com,1
523316,08596 223485,9440211131,0788 2219888, 0565 2443310,ahmarkapur@yahoo.com,http://redcrosskarnataka.org/,Dr. P. Pitchi Reddy,	,9440211131,docgpreddy@gmail.com,1
523001,8592233310,9000991884,0788 2219888, 0565 2443310,bloodbankrimsongole@gmail.com,http://www.rimsongole.org/hospital.aspx,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
523001,08592 236093,9247264635,0788 2219888, 0565 2443310,ircsbbongole@gmail.com,http://www.REDCROSS-prakasam.org,Dr. K.SHAMMI KASTHURI,	,9948570246,ircsbbongole@gmail.com,1
523001,9247023117,"09247023117, 09848999117",0788 2219888, 0565 2443310,ehara.rao0900@gmail.com,http://redcrosskarnataka.org/,Dr. G. Raghav,	,9441126486,edara.rao0900@gmail.com,1
523001,08592 222345,9849499988,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. C. H. RaviKumar,	,9849499988,beliefbloodbank@gmail.com,1
524101,0251 2442283,8008553616,0788 2219888, 0565 2443310,ahgudur@yahoo.com,http://redcrosskarnataka.org/,Dr.SAGILI RAVIBABU,9440558885,9440558885,ahgudur@yahoo.in,1
524201,08626 244766,9849850498,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
524201,0251 2442283,9247708602,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
524201,08626 244766,9849850498,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. B. Ravi Kumar,	,9440276386,kavaliredcross@gmail.com,1
524003,0861 2320470,9347033100,0788 2219888, 0565 2443310,redcross_nlr@yahoo.com,http://redcrosskarnataka.org/,Dr. Penchala Subbaiah,	,9441010539,redcross_nlr@yahoo.com,1
524003,0251 2442283,92477088602,0788 2219888, 0565 2443310,dsrbbnlr@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
524002,0861 2349277,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,dsrbbnlr@gmail.com,1
524002,0861 2317963,"09815157018, 09501620619",0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,"Dr. Yashovardhan, Dr. Sundaram",	,9866924249,bloodbankngh@gmail.com,1
532001,0251 2442283,9391489207,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. K. Venkateswara Rao,	,9391489207,gemshospitalbloodbank@gmail.com,1
532127,"08941 253183, 08941 253184","09815157018, 09501620619","1,800,425,183,418,000,000,000",08941 253185,na,http://redcrosskarnataka.org/,Dr. R. Sudhakar	,	,9963790182,ic_bloodbank@gmrcarehospitals.in	,1
532001,08942 279679,9701501018,0788 2219888, 0565 2443310,bbrimssklm@gmail.com,http://redcrosskarnataka.org/,"Dr. K. Paparatnam,MD",	,9701501018,bbrimssklm@gmail.com,1
532001,"08942 226555, 08942 226111","09815157018, 09501620619",1910, 0565 2443310,secretary.redcrosssklm@gmail.com,http://www.ircssrikakulam.com/,Dr. G. Satyavathi	,	,9059466827,secretary.redcrosssklm@gmail.com,1
531001,0251 2442283,9848325561,0788 2219888, 0565 2443310,bloodbank.ahakp@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
531001,08924 223340,9491817042,0788 2219888, 0565 2443310,bloodbank.ahakp@gmail.com,http://redcrosskarnataka.org/,Dr. R. Rama Dasu,	,9705076008,nandkishor@arpanbloodbank.org,1
530032,0891 2887722,"07702917979, 08912888462",0891 2887722, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. A. Shanthi Priya,	,7702917979,Santhi_priya@vizagsteel.com,1
530005,0891 2814028,"09815157018, 09501620619",0891 2814028, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,Dinesh179418@gmail.com,1
531162,8912821111 (Exte. No. 126),"09815157018, 09501620619",08933 226900,0891 2821199,nriims@gmail.com,http://redcrosskarnataka.org/,Dr. Ms. C. P. Pushpavathi,NA		,"08008901273, 09866656485",c_pushpavathi@yahoo.co.in,1
530002,0891 2564891,8912563345,0891 2564891, 0565 2443310,kgh_vsp@ap.nic.in,http://redcrosskarnataka.org/,Dr. Syamala,	,8912563345,Kgh_vsp@nic.in,1
530001,0891 2562637 ,9059522294,0891 2562637, 0565 2443310,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",http://redcrosskarnataka.org/,Dr. K. Chandra Sekhar Dev,	,9440283049,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",1
530002,0891 2703953,9848027203,0891 2794153, 0565 2443310,secretaryvspredcross@gmail.com,http://redcrosskarnataka.org/,"Dr. M. Lakshmi,  Dr. P. Jagannatham, Dr. P. Venugopal",0891 2703953,"09491880025, 09177722827, 09848027203			",secretaryvspredcross@gmail.com,1
530002,"0891 6534635, 0891 2506678",9848193503,"0891 6534635, 0891 2506678", 0565 2443310,rotarybloodbankvsp@gmail.com,http://redcrosskarnataka.org/,Dr. P. Kamala Devi		,	,9848193503,rotarybloodbankvsp@gmail.com,1
530002,0891 2727272 ,"09815157018, 09501620619",0891 2727272,0891 2560858,Jhansilaxmi-a@apollohospital.com,http://www.apollohospital.com,Dr. V. Bhushan Rao,	,9000013568,drvbhushanrao@gmail.com ,1
530002,0891 6677777,9848199322,0788 2219888, 0891 2565635,na,http://www.sevenhillshospital.com,Dr. Venkatesh Giri,	,9440401400,Venkatesh.s@sevenhillshospital.com,1
530002,"0891 2543436,0891 6663436,0891 6644936.",9393963436,0788 2219888, 0565 2443310,asrajavbloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. A. Sugandhi,0891 2543436,9393963436,drasugandhi@gmail.com,1
530002,"0891 6692587, 0891 6692580, 0891 6692590","917,723,430,709,393,000,000","0891 6692587, 0891 6692580, 0891 6692590", 0565 2443310,lionsbloodbankvsp@gmail.com,http://redcrosskarnataka.org/,Dr. K. Manjula Vani,	,9885199088,"manjulavanidr@gmail.com, ",1
530002,"0891 2565858, 0891 2555858",09032005619	,"0891 2565858, 0891 2555858", 0565 2443310,na,http://www.ntrtrust.org,Dr. P S Vasantha Rao		,0891-2565858,9059075271,vizagbb@ntrtrust.org,1
530045,0891 2524777,9985556050,0891 2524777	,0891 2790222,directorgims@gitam.edu,http://redcrosskarnataka.org/,Dr. Anju Ramesh Choudhary,	,9393102206,dranjuchoudhary@yahoo.com,1
530048,"0891 2793741, 0891 2590131",7675808026,"0891 2793741, 0891 2590131",0891 2793740,gvphospital@gmail.com,http://www.gvpmc.in,Dr. M. Subramania sharma,	,9848146869,gvphospital@yahoo.com ,1
535501,08963 222088,9908842182,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. P. Swathi,	,9000250742,madhuircs@gmail.com,1
535003,0251 2442283,9440070099,0788 2219888, 0565 2443310,bloodbankdhvzm@gmail.com,http://redcrosskarnataka.org/,Dr. B. Satya Srinivas,	,9440070099,bloodbankdhvzm@gmail.com,1
535003,08922 272700,8142578999,0788 2219888, 0565 2443310,"secretaryredcrossvizianagaram@gmail.com,",http://redcrosskarnataka.org/,Dr. Venugopal Reddy CH.P.,	,8142578999,dr.cvgreddy@gmail.com,1
535002,08922 275513 ,9390028861,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,JVSpatnaik795@gmail.com,1
535002,08922 244394,9440043451,0788 2219888, 0565 2443310,na,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,principalsretmims@gmail.com ,1
534202,08816 225556,9666001234,0788 2219888, 0565 2443310,na,http://www.asnrajutrust.org,Dr. A. Durga Prasad,	,9951225559,nandkishor@arpanbloodbank.org,1
534202,"08816 230888, 08816 230878",8897888108,0788 2219888, 0565 2443310,anandabloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. N. Kasi Viswanatha Raju,	,9542218999,anandabloodbnak@gmail.com,1
534006,08812 220333,"09815157018, 09501620619",0788 2219888, 0565 2443310,wgbloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. G. Shyam Sundar,	,8008441531,wgbloodbank@gmail.com,1
534006,08812 224722,9848177142,0788 2219888, 0565 2443310,redcrosseluru@gmail.com,http://www.indianredcross.ap.org,"Dr. Prasad, Dr K Kondhanda Rami Reddy",	,"09490126837, 09848474494",redcrosseluru@gmail.com,1
534005,"08812 288288, 08812 288299","07382626281, 07382626282",0788 2219888, 0565 2443310,asrams@yahoo.com,http://www.asram.in,Dr. T. Sai Chand,	,7382626282,"saichandt@yahoo.com, asrambloodbank@gmail.com",1
534001,"08812 246430, 08812 246947",9440470715,0788 2219888, 0565 2443310,samaritaneluru@gmail.com,http://goodsmaritanhospitals.com,Dr. V. Rajendra,9010812340,8985167461,samaritaneluru@gmail.com,1
534447,08821 225305,9493009404,0788 2219888, 0565 2443310,Bloodbankahjrg@gmail.com,http://www.indianredcross.ap.org,Dr. G. V. V. Satyanarayana,8821225305,"09550928665, 09441046363",Bloodbankahjrg@gmail.com,1
534275,08814 276656 ,8179704000,0788 2219888, 0565 2443310,harshasatish555@gmail.com,http://www.indianredcross.ap.org,Dr. K. S. Trimurthulu,	,9440467664,harshasatish555@gmail.com,1
534260,08814 222678,9885144415,0788 2219888, 0565 2443310,palakolvoluntarybloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. Geetha Rani,	,9885906123,palakolvoluntarybloodbank@gmail.com,1
534211,8819221184,"09815157018, 09501620619",0788 2219888, 0565 2443310,wgbloodbank@gmail.com,http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
534215,08819 221184,9959312349,08819 220274, 0565 2443310,ircs.tanuku@gmail.com,http://www.indianredcross.ap.org,Dr. N. Sri Hari,	,9885500172,ircs.tanuku@gmail.com,1
534211,08819 225269,9133111131,0788 2219888,08819 221096,nanibuddala@gmail.com,http://redcrosskarnataka.org/,"Dr. K. Ramalakshmi, Dr. A. Raghavendra Rao ",	,"09490291104, 08885412498",nanibuddala@gmail.com,1
516001,08562 225665,"09502577742, 09703158194",0788 2219888, 0565 2443310,"kadapabb@gmail.com balakrishna9999.1914@rediffmail.com, sgr2k2@gmail.com",http://redcrosskarnataka.org/,Dr. Ashok Kumar,	,9822324340,nandkishor@arpanbloodbank.org,1
