Sr No, Blood Bank Name, State, District, City, Address, Website, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, Latitude, Longitude
97,Narayana Medical College & Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Narayana Hospital compound, Nellore",,"MBBS, MD (Transfusion Medicine)",Private,YES,YES,24x7	,14.442599,79.986456
98,Gems Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Ragolu,"Gems Hospital Premises, Ragolu, Srikakulam",,"MBBS, DCP",Private,NO,NO,24x7	,18.289087,83.9056
99,GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Rajam,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
",,"MBBS, MD (Pathology)",Private,YES,NO,24x7,18.461272,83.658352
100,Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,"RIMS Government Hospital Premises, Balaga, Srikakulam
",,"MBBS, MD (Pathology)",Government,YES,NO,24x7,18.312884,83.887717
101,Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


",http://www.ircssrikakulam.com/,MBBS,Charity,NO,NO,24x7,18.296359,83.894549
102,District Hospital,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,AH- ANAKAPALLI,,,Government,YES,NO,24x7,17.689592,82.997733
103,M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",,MD (Pathology),Government,NO,NO,8 Hrs,17.686427,83.218576
104,M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Gajuwaka,"Ukkunagaram, Steel Plant, Visakhapatnam",,MD (Pathology),Government,NO,NO,24x7			,17.662908,83.144127
105,M/s. INHS Kalyani Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Gajuwaka,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",,,,NO,,,0.0,0.0
106,M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Sangivalasa,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",,"MBBS, DIBT",Private,YES,NO,24X7,17.97256,83.432338
107,M/s. King George Hospital (KGH) Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"King George Hospital, Maharanipeta, Visakhapatnam",,MBBS,Government,YES,NO,24x7,17.70667,83.303737
108,M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"Women & Children Hospital Blood Bank, Visakhapatnam",,M.S E.N.T,Government,NO,,24x7,17.686816,83.218482
109,M/s. Indian Red Cross Society Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",,"MBBS, MD. DCH	",Charity,YES,NO,24x7,17.686816,83.218482
110,M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
",,MBBS,Charity,YES,YES,24x7,17.686816,83.218482
111,M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",http://www.apollohospital.com,MD (Pathology)	,Private,NO,NO,24x7,17.717084,83.309208
112,M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",http://www.sevenhillshospital.com,MD (Pathology),Private,NO,NO,24x7,17.71737,83.309268
113, A. S. Raja Voluntary Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
",,"MBBS, MD ,Pathology.",Charity,YES,NO,24x7,17.720274,83.313048
114,M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
",,"MBBS, DGO",Charity,YES,NO,24X7	,17.719063,83.311286
115,M/s. N.T.R. Memorial Trust Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
",http://www.ntrtrust.org,MBBS	,Charity,YES,YES,24X7,17.691575,83.238891
116,M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",,"MBBS, DCP",Private,YES,YES,24x7		,17.784938,83.374975
117,M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam
",http://www.gvpmc.in,MD (Pathology),Private,YES,NO,24x7					,17.689433,83.211615
118,"Indian Red Cross Society Blood Bank, RCH-II",Andhra Pradesh,VIZIANAGARAM,Parvathipuram,"Area Hospital Premises, First Floor, Belagam, Parvathipuram
",,"MBBS, Diploma in Pathology",Charity,NO,NO,24x7,18.781716,83.426752
119,District Headquarters Hospital Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"District Headquarters Hospital, Cantonment, Vizianagaram ",,MD (Pathology),Government,YES,NO,24x7,18.110022,83.388433
120,Indian Red Cross Society Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",,"MBBS, FICC",Charity,NO,NO,24x7,18.106658,83.395551
121,Srinivasa Nursing Home Blood Bank ,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"Ground Floor, Plot No. 06, Arundati Nagar, Opposite to Goods Shed, Cantonment, Vizianagaram",,,Private,NO,,,0.0,0.0
