Sr No, Blood Bank Name, State,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Email Nodal Officer, Category, Apheresis, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
14,M/s IRCS Blood Bank.,Andhra Pradesh,517001,08572 220287 ,9849229482,,,ircschittoor@gmail.com,,ircschittoor@gmail.com,Charity,NO,17/CT/AP/2002/BB/R		,16.12.2002,01.01.2013,13.21698,79.100764
15,M/s PESIMSR Blood Bank.,Andhra Pradesh,517425,08570 256737,9391833741,,08570 257200,pathpesimsr@gmail.com,,pathpesimsr@gmail.com,Private,NO,8/CP/AP/2003/BB/R,25.06.2003,25.06.2018,12.791223,78.363897
16,Blood Bank AH Madanapalli,Andhra Pradesh,517325,8571222087, ,,,  ircsbbmpl2009@gmail.com,,,Charity,NO,18/CT/AP/2009/BBG,,,13.217176,79.100329
17,"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,517325,08571 222087,9440580272,,, ircsbbmpl2009@gmail.com,, ircsbbmpl2009@gmail.com,Government,NO,18/CP/AP/2009/BB/G,22.04.2009,21.04.2014,13.556927,78.50085
18,"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,517507,9490651605,9490651605,,,suresh.bandapalli@gmail.com,,,Charity,,,,,13.677292,79.3487
19,SVRRGGH - Model Blood Bank,Andhra Pradesh,517502,0877 2286290,,,0877 2286290,modelbloodbanktpt2010@gmail.com,,,Government,NO,18/CT/AP/95/BB/CP,12.09.2011,09.10.2016,13.644382,79.407003
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,517507,0877 2287777,,,0877-2286116,svimshosp ,,,Charity,,,,,13.637934,79.403917
21,Govt Maternity Hospital Blood Bank,Andhra Pradesh,517507,,9949190197,,8772230367,supdtgmhtirupati@yahoo.com,,,Government,NO,,,,13.639418,79.409372
22, TTD Central Hospital Blood Bank,Andhra Pradesh,517501,0877 2264622,9849099750,,,ttdcentralhospital@gmail.com,,ttdcentralhospital@gmail.com,Charity,NO,85/CH/AP/BB/1997/R,07.07.1997	,01.01.2018,13.642148,79.421067
23,S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,517501,0877 6667671 ,9246999571,,,svsctbloodbank@gmail.com,,,Charity,YES,,,,0.0,0.0
24,Government Hospital,Andhra Pradesh,533201,,9989106236,,,bloodbankahamp@gmail.com,,bloodbankahamp@gmail.com,Government,NO,,,,16.587432,82.008431
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,533201,"08856 237996, 08856 237997, 08856 237998",9949993495,,08856 237985,Principal07kims@yahoo.co.in,,kimsbbampeg@gmail.Com,Charity,NO,5/EG/AP/2004/BB/R,27.05.2004			,26.05.2019,16.592169,82.024025
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Andhra Pradesh,533201,,"09505152234, 09491219991",,,,,bloodbankahamp@gmail.com	,Government,NO,8/EG/AP/2006/BB/G,28.08.2006,28.08.2019,16.575367,81.998101
27,"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,533001,0884 2302008,9390207027,,0884 2358474,bloodbankgghkkd@gmail.com,,drsatyavani@yahoo.co.in,Charity,,,,,16.955537,82.22748
28,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,533004,0884 2385800,9848071868,,,nraopydah@yahoo.co.in,http://www.Indianredcross-eg.org,redcrossbloodbank@yahoo.com,Charity,YES,14/EG/AP/2003/BB/G				,02.09.2003 ,28.08.2018,16.989065,82.247465
29,M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,533001,"0884 2367366, ",9494673434,,,,,rotarybloodbank.kakinada@gmail.com,Charity,NO,148/EG/AP/2000/BB/,07.03.2001	,15.03.2019,0.0,0.0
30,District Headquarters Hospital,Andhra Pradesh,533101,,9849520969,,,govtbloodbank.rjy@gmail.com,,,,,,,,17.019708,81.791631
31,M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,533296,0883 2484999,,,0883 2484888,,,gslbloodbank@gmail.com,Private,NO,,,,0.0,0.0
32,"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,533103,"0883 2464745, 0883 246569878, 0883 2461493",,,,,,swantantrabbrjy@gmail.com,Private,NO,127/EG/AP/98/BB/R	,21.01.1992,04.12.2018,0.0,0.0
33,M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,533103,0833-2473050,9885186533,,,dvbbrjy@gmail.com,,rjydvbb@gmail.com,Charity,YES,4/EG/AP/2007/BB/G	,16.03.2007,15.03.2017,17.00787,81.785213
34,M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,533401,08854 252333,"09849030908, 09505615556",,,tunibloodbank@yahoo.com,,tunibloodbank@yahoo.com,Government,NO,14/EG/AP/2009/BB/G			,04.09.2009,03.09.2019,17.354937,82.541241
35,M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,533401,08854 251123,"09347911130, 09948456739",NA			,,,,sakthibloodbank@gmail.com	,Charity,NO,16/EG/AP/2009/BB/G			,28.08.2009,28.08.2019,0.0,0.0
36,Government General Hospital Blood Bank,Andhra Pradesh,522001,0863 2220035 (Ext No: 280),9966641474,,,bloodbank.ggh.gnt@gmail.com,,bloodbank.ggh.gnt@gmail.com,Government,NO,81/GNT/AP/97/BB/R,9.03.1997,31.12.2016	,16.299747,80.443689
37,Indian Red Cross Society,Andhra Pradesh,522004,,9985322589,,,redcrossbloodbankguntur@yahoo.co.in,,,Charity,NO,,,,16.306653,80.43654
38,Indian Red Cross Society Blood Bank ,Andhra Pradesh,522004,0863 2215656,"09848181601, 08121751295	",,NA							,,,redcrossbloodbankguntur@yahoo.co.in,Charity,NO,15/GN/AP/2005/BB/G,23.01.2006,22.01.2011,16.306653,80.43654
39,Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,522001,"0863 2336198, 0863 2336199 ",9246600777,,,,,lionsvisionbloodbank@gmail.com,Charity,,,,,0.0,0.0
40,Padmavathi Day & Night Blood Bank,Andhra Pradesh,522001,,,,,,,"prabhudasmahe2@gmail.com,Drvvsra36@yahoo.com",Private,,,,,0.0,0.0
41,M/s. Needs Blood Bank ,Andhra Pradesh,522001,"0863 6638222, 0863 6639222",9246448899,,,needsbloodbankguntur@gmail.com,,srineeds@gmail.com,Charity,YES,07/GN/AP/2008/BB/G,23.06.2008	,23.06.2018 	,16.29882,80.448888
42,M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,Andhra Pradesh,522001,0863 2219955,,,,,,Srilakshmibloodbank@gmail.com,Private,,,,,0.0,0.0
43,Saint Joseph General Hospital Blood Bank,Andhra Pradesh,522001,"0863 2322700, 0863 2320386 ",9493819977,,,,,Stjh_gnt@yahoo.com,Charity,NO,92/GNT/AP/97/BB/R,17.07.1997	,01.01.2018,16.297514,80.440648
44,NTR Memorial Trust Blood Bank,Andhra Pradesh,522001,0863 2339444 ,,,,,,gtrbb@ntrtrust.org,Charity,,,,,0.0,0.0
45,Katuri Medical College and Hospital Blood Bank ,Andhra Pradesh,522019,"0863 2288555, 0863 2288556 (Ext No. 234) ",,,,katuribloodbank@gmail.com,,katuribloodbank@gmail.com,Private,NO,15/GN/AP/2003/BB/G,30.09.2003,30.09.2018	,16.227872,80.30947
46,NRI Medical College and General Hospital Blood Bank,Andhra Pradesh,522503,"08645 236777, 08645 237401, 08645 230101","09849989813, 09849989843",,,,,bloodbanknri@yahoo.com,Private,NO,11/GN/AP/2003/BB/CP,18.07.2003			,03.04.2015,16.413675,80.555675
47,Manipal Hospital Bloodbank,Andhra Pradesh,522501,0866 2489700 (Ext No.102),,,0866 2498400,,http://www.manipalhospital.org,c.sitalatha@yahoo.com,Private,YES,24/GN/AP/2009/BB/G,29.10.2010			,28.10.2015,16.484433,80.617219
48,Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,522601,8647224455,"09885222155, 09885838866",08647 224455,,nrtbloodbankircs@gmail.com,,ntrbloodbankircs@gmail.com,Charity,,,,,16.235919,80.048412
49,NRT Blood Bank,Andhra Pradesh,522601,9542628888,9985148884,,,nrtbioodbank@gmail.com,,nrtbloodbank@gmail.com,Private,YES,04/GNT/AP/2014/BB/G,07.01.2015			,06.01.2020,16.193331,80.019956
50,Anjireddy Multi Specality Blood Bank ,Andhra Pradesh,522413,08649 254567,9849212042,,,,,athotasunilkumar@gmail.com,Private,NO,03/GNT/AP/2014/BB/G,12.11.2014,12.11.2019,16.478789,79.893642
51,Red Cross Blood Bank,Andhra Pradesh,522265,08648 223939,9177883353,,NA				,rplredcrossbb@gmail.com,,dr.raghava2015@gmail.com,Charity,NO,09/GNL/2006/AP/BB/R,03.11.2006	,02.11.2016,16.017425,80.829475
52,Area Hospital (Repeated),Andhra Pradesh,522201,,9866686760,,,tenalibloodbank@gmail.com,,,,,,,,16.239531,80.64934
53,APVVP District Hospital Blood Bank,Andhra Pradesh,522202,,,,,,,tenalibloodbank@gmail.com,Government,,,,,0.0,0.0
54,Rudhira Voluntary Blood Bank,Andhra Pradesh,522201,"08644 231222, 08644 654123",9247155622,,,maruthi_nagalingam@yahoo.com	,,rudhira.voluntary@gmail.com,Private,NO,13/GNT/AP/2010/BB/CP,20.08.2010,21.03.2019,16.243428,80.646397
55,Best Rotary Blood Bank,Andhra Pradesh,522201,,09849833321	,NA		,,,,bestrotarybloodbank@gmail.com,Private,NO,2/GNT/AP/2010/BB/G,27.02.2010	,26.02.2015,16.251179,80.64934
56,Area Hospital Blood Bank,Andhra Pradesh,521301,08674 245040,7799990904,,,areahospital.gudivada@gmail.com,,areahospital.gudivada@gmail.com,Government,NO,84/KR/AP/97/BB/R,17.04.1997,31.12.2017,16.349045,81.049715
57,Dr. Pattabhi Red Cross Blood Bank ,Andhra Pradesh,521001,08672 230605,,,,drprcbloodbankmtm@gmail.com,,drprcbloodbankmtm@gmail.com,Charity,NO,11/K.R/AP/2004/BB/G,10.08.2004,21.09.2015,16.190546,81.136154
58,Government General Hospital (Repeated),Andhra Pradesh,520007,9866686760,8662452244,,,gghbbvij@gmail.com,,,,,,,,16.513339,80.618989
59,Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,521001, 08672 245040,,,,dhmtmbb@gmail.com,,,Government,,LIC NO.71/KR/AP/1997/BB/R DT. 31-12-2017.,,,16.176867,81.138647
60,Rotary Red Cross Blood Bank,Andhra Pradesh,520003,"0866 2570082, 0866 6464002",9848124977,,,redcrosskrishna@gmail.com,,redcrosskrishna@gmail.com,Charity,NO,2/HD/AP/2002/BB/G		,18.02.2002,17.02.2017,16.506174,80.648015
61,Vijaya Sri Blood Bank,Andhra Pradesh,520002,0866 2433199,9392120187,,,vijayasribloodbankvja @gmail.com,,drtgopalakrishnamurthy @yahoo.com,Charity,YES,14/KR/AP/2005/BB/CP,29-4-2013,28-4-18,16.51304,80.635644
62,Lions Blood Bank,Andhra Pradesh,520002,0866 2434417,,,,lionsbloodbank@yahoo.com,,,Charity,NO,22/KR/AP/2009/BB/G,18.12.2009,17.12.2014,16.506174,80.648015
63,University General Hospital Blood Bank,Andhra Pradesh,520 008,"0866 2452244, 0866 2453488",,,,gghbbvij@gmail.com	,,"kiranmayi.bogarapu@gmail.com, ",Government,NO,66/KR/AP/97/BB/CP,28.01.1997,31.12.2017	,16.516111,80.670085
64,M/s. Chaitanya Blood Bank,Andhra Pradesh,520010,"0866 2497977, 0866 645977",9246289777,,,,,chaitanyabloodbank@gmail.com,Charity,YES,19/KR/AP/2010/BB/G,21.12.2010,20.12.2019,16.498839,80.655488
65,Nagarjuna Hospital Blood Bank,Andhra Pradesh,,0866 2554701,9848141550,,,,,,Private,,,,,0.0,0.0
66,Saint Ann&#39;s Hospital Blood Bank  ,Andhra Pradesh,520 002,0866 2572057,,,,annshospitall@gmail.com,,,Private,NO,163/KR/AP/2001/BB/R,07.08.2001		,31.12.2017,0.0,0.0
67,Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,520 003,2570082,,,,,,,Charity,,,,,0.0,0.0
68,Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Andhra Pradesh,521286,08676 257311,,,,,,bb.drpsims@gmail.com,Private,NO,07/KR/AP/2003/BB/R,08.04.2003,09.04.2018,16.551655,80.832047
69,Bethesda Blood Bank,Andhra Pradesh,,0866 2435888,098498 33321,,,,,,,,,,,16.512971,80.632664
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,520002,0866 2573636,9849118077,,,lionsbloodbank@yahoo.com,,lionsbloodbank@yahoo.com,Charity,YES,08/KR/AP/2005/R,14.12.2005,13.12.2015,16.510309,80.63251
71,Suraksha Voluntary Blood Bank,Andhra Pradesh,520002,0866 2434499,9394777899,,,surakshabloodbank@gmail.com,,surakshabloodbank@gmail.com,Charity,NO,03/VJ/AP/2009/BB/CP,22.04.2009,02.05.2017,16.51343,80.632861
72,M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,520008,0866 2541414,8498061158,,,,http://www.aayushhospitals.com,bloodbank@aayushhospitals.com,Private,YES,01/VJ/AP/2014/BB/G,22.05.2014,21.05.2019,0.0,0.0
73,M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,521456,"0866 6500000, 0866 6545454",,,,nimrabloodbank@gmail.com,,,Private,NO,07/KN/AP/2012/BB/G,,,0.0,0.0
74,"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,518301,,9440503302,,,drhsivareddy123@gmail.com,,,Government,NO,26/KNL/AP/2009/BB/G,12/10/2010,11/10/2015.   SENT FOR RENEWAL ON 10/09/2015 ,15.632223,77.272837
75,M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,518301,,9440503302,,,,,ircsbloodbank@gmail.com,Charity,NO,26/KNL/AP/2009/BB/G,12.10.2010,11.10.2015,15.632223,77.272837
76,M/s. Government General Hospital Blood Bank,Andhra Pradesh,518002,,9985676311,,,knlgghbloodbank@gmail.comsupdtgghknl@gmail.com,,kulgghbloodbank@gmail.com,Government,,,,,15.820654,78.038088
77,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,518002,08518 255347,9490601960,,,indianredcrossknl@yahoo.com,,ircsbloodbankknl@gmail.com,Charity,YES,3/KL/AP/2004/BB/R	,03.03.2004,14.03.2019,15.816357,78.040317
78,M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,518002,08518 283964,,,,,,vbghbbknl@gmail.com,Government,,,,,0.0,0.0
79,M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,518002,08518 22294,,,,,,,Charity,,,,,0.0,0.0
80,M/s. R.R. Hospital Blood Bank,Andhra Pradesh,518004,08518 223131,9966662331,,,,,rrbloodbank@yahoo.in,Private,YES,16/KNL/AP/2009/BB/G,14.07.2009,14.07.2019,15.82872,78.035743
81,District Hospital Blood Bank ,Andhra Pradesh,518502,8514221033,9959912781,,,bbdhnandyal@gmail.com,,bbdhnandyal@gmail.com,Government,NO,128/KL/AP/2000/BB/G,30.11.2000,31.12.2016,15.469336,78.482935
82,M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,518501,,,,,,,,,,,,,0.0,0.0
83,Government Hospital Blood Bank,Andhra Pradesh,518101,,,,,,,,,,,,,16.0833,78.8667
84,M/s. Area Hospital Blood Bank,Andhra Pradesh,523155,8520026320,9441743892,,,shaikabdulhafiz@gmail.com,,ahchirala@yahoo.com,Government,NO,88/PK/AP/97/BB			,17.04.1997,30.07.2017,15.825971,80.36127
85,Indian Red Cross Society Blood bank,Andhra Pradesh,523316,08596 223485,9440211131,,,ahmarkapur@yahoo.com,,docgpreddy@gmail.com,Charity,NO,14/PS/AP/2008/BB/G,13.08.2008,12.08.2013,15.736154,79.269125
86,M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,523001,8592233310,9000991884,,,bloodbankrimsongole@gmail.com,http://www.rimsongole.org/hospital.aspx,,Government,,04/PRK/AP/2011/BB/G,19/05/2011,18/05/2016,15.487882,80.047144
87,Indian Red Cross Society Blood Bank,Andhra Pradesh,523001,08592 236093,9247264635,,,ircsbbongole@gmail.com,http://www.REDCROSS-prakasam.org,ircsbbongole@gmail.com,Charity,NO,135/PS/AP/99/BB/R,14.06.1999,29.12.2012,15.505723,80.049922
88,M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,523001,9247023117,"09247023117, 09848999117",,,ehara.rao0900@gmail.com,,edara.rao0900@gmail.com,Charity,NO,07/PRK/AP/2011/BB/G,03.10.2011,02.10.2016		,15.481367,80.05908
89,M/s. Belief Blood Bank,Andhra Pradesh,523001,08592 222345,9849499988,,,,,beliefbloodbank@gmail.com,Charity,YES,18/PRK/AP/2009/BB/G	,,,15.481367,80.05908
90,Government Hospital Blood Bank,Andhra Pradesh,524101,,8008553616,,,ahgudur@yahoo.com,,ahgudur@yahoo.in,Government,NO,130/NL/AP/2000/BB/R,,,14.146545,79.848756
91,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,524201,08626 244766,9849850498,,,,,,Charity,,,,,0.0,0.0
92,M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,524201,,9247708602,,,,,,Government,,,,,0.0,0.0
93,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,524201,08626 244766,9849850498,,,,,kavaliredcross@gmail.com,Charity,NO,06/NL/AP/2011/BB/G	,20.10.2011,19.10.2016,14.913181,79.99298
94,Indian Red Cross Society Blood Bank,Andhra Pradesh,524003,0861 2320470,9347033100,,,redcross_nlr@yahoo.com,,redcross_nlr@yahoo.com,Charity,NO,95/NL/AP/97/BB/R,17.07.1997	,,14.426777,79.959008
95,District Headquarters Hospital (Repeated),Andhra Pradesh,524003,,92477088602,,,dsrbbnlr@gmail.com,,,,,,,,14.435424,79.966831
96,D.S.R. Headquarters Hospital Blood Bank,Andhra Pradesh,524002,0861 2349277,,,,,,dsrbbnlr@gmail.com,Government,,,,,0.0,0.0
97,Narayana Medical College & Hospital Blood Bank,Andhra Pradesh,524002,0861 2317963,,,,,,bloodbankngh@gmail.com,Private,YES,08/NL/AP/2007/BB/G,13.11.2008,13.11.2018,14.442599,79.986456
98,Gems Hospital Blood Bank,Andhra Pradesh,532001,,9391489207,,,,,gemshospitalbloodbank@gmail.com,Private,NO,6/SK/AP/2010/BB/G,03.06.2011,02.06.2016,18.289087,83.9056
99,GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,532127,"08941 253183, 08941 253184",,"1,800,425,183,418,000,000,000",08941 253185,,,ic_bloodbank@gmrcarehospitals.in	,Private,NO,06/SK/AP/2013/BB/G,26.11.2013		,25.11.2018,18.461272,83.658352
100,Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,532001,08942 279679,9701501018,,,bbrimssklm@gmail.com,,bbrimssklm@gmail.com,Government,NO,59/SKL/AP/97/BB/CP,19.08.1997,18.08.2016,18.312884,83.887717
101,Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,532001,"08942 226555, 08942 226111",,1910,,secretary.redcrosssklm@gmail.com,http://www.ircssrikakulam.com/,secretary.redcrosssklm@gmail.com,Charity,NO,2/SK/AP/2006/BB/R,27.02.2016,26.02.2021,18.296359,83.894549
102,District Hospital,Andhra Pradesh,531001,,9848325561,,,bloodbank.ahakp@gmail.com,,,Government,NO,,,,17.689592,82.997733
103,M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,531001,08924 223340,9491817042,,,bloodbank.ahakp@gmail.com,,,Government,NO,18/AP/VP/2003/BB/G,17.11.2003,29.05.2014,17.686427,83.218576
104,M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,530032,0891 2887722,"07702917979, 08912888462",0891 2887722,,,,Santhi_priya@vizagsteel.com,Government,NO,22/VP/AP/95/BB/R,16.04.1996,13.02.2014,17.662908,83.144127
105,M/s. INHS Kalyani Blood Bank,Andhra Pradesh,530005,0891 2814028,,0891 2814028,,,,Dinesh179418@gmail.com,,,,,,0.0,0.0
106,M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,531162,8912821111 (Exte. No. 126),,08933 226900,0891 2821199,nriims@gmail.com,,c_pushpavathi@yahoo.co.in,Private,NO,01/VP/AP/2007/BB/G,06.03.2007	,05.03.2017,17.97256,83.432338
107,M/s. King George Hospital (KGH) Blood Bank ,Andhra Pradesh,530002,0891 2564891,8912563345,0891 2564891,,kgh_vsp@ap.nic.in,,Kgh_vsp@nic.in,Government,NO,78/VSP/AP/97/BB/R,28.01.1997,31.12.2017,17.70667,83.303737
108,M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,530001,0891 2562637 ,9059522294,0891 2562637,,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",Government,,57/VSP/AP/97/BB/G,1997,2013,17.686816,83.218482
109,M/s. Indian Red Cross Society Blood Bank ,Andhra Pradesh,530002,0891 2703953,9848027203,0891 2794153,,secretaryvspredcross@gmail.com,,secretaryvspredcross@gmail.com,Charity,NO,15/VP/AP/2004/BB/R,02.12.2004,01.12.2014,17.686816,83.218482
110,M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,530002,"0891 6534635, 0891 2506678",9848193503,"0891 6534635, 0891 2506678",,rotarybloodbankvsp@gmail.com,,rotarybloodbankvsp@gmail.com,Charity,YES,19/VP/AP/2002/BB/R			,27.01.2003,28.11.2018,17.686816,83.218482
111,M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,Andhra Pradesh,530002,0891 2727272 ,,0891 2727272,0891 2560858,Jhansilaxmi-a@apollohospital.com,http://www.apollohospital.com,drvbhushanrao@gmail.com ,Private,NO,120/VP/AP/2000/BB/R	,03.10.2000	,31.12.2016,17.717084,83.309208
112,M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,530002,0891 6677777,9848199322,, 0891 2565635,,http://www.sevenhillshospital.com,Venkatesh.s@sevenhillshospital.com,Private,NO,07/VP/AP/2007/BB/CC,12.10.2009,11.10.2019		,17.71737,83.309268
113, A. S. Raja Voluntary Blood Bank,Andhra Pradesh,530002,"0891 2543436,0891 6663436,0891 6644936.",9393963436,,,asrajavbloodbank@gmail.com,,drasugandhi@gmail.com,Charity,NO,7/VP/AP/2002/BB/R,06.09.1995,27.08.2018,17.720274,83.313048
114,M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,Andhra Pradesh,530002,"0891 6692587, 0891 6692580, 0891 6692590","917,723,430,709,393,000,000","0891 6692587, 0891 6692580, 0891 6692590",,lionsbloodbankvsp@gmail.com,,"manjulavanidr@gmail.com, ",Charity,NO,03/VP/AP/2012/BB/G	,07.06.2012,06.06.2017,17.719063,83.311286
115,M/s. N.T.R. Memorial Trust Blood Bank ,Andhra Pradesh,530002,"0891 2565858, 0891 2555858",09032005619	,"0891 2565858, 0891 2555858",,,http://www.ntrtrust.org,vizagbb@ntrtrust.org,Charity,YES,03/VSP/AP/2013/BB/G,30.05.2013,30.05.2018,17.691575,83.238891
116,M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,Andhra Pradesh,530045,0891 2524777,9985556050,0891 2524777	,0891 2790222,directorgims@gitam.edu,,dranjuchoudhary@yahoo.com,Private,YES,2/VSP/AP/2015/BB/G,19.05.2015,18.05.2020,17.784938,83.374975
117,M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,530048,"0891 2793741, 0891 2590131",7675808026,"0891 2793741, 0891 2590131",0891 2793740,gvphospital@gmail.com,http://www.gvpmc.in,gvphospital@yahoo.com ,Private,NO,03/VSP/AP/2015/BB/G,28.08.2015,27.08.2020,17.689433,83.211615
118,"Indian Red Cross Society Blood Bank, RCH-II",Andhra Pradesh,535501,08963 222088,9908842182,,,,,madhuircs@gmail.com,Charity,NO,15/VZN/AP/2007/BB/G,24.08.2007,24.07.2012,18.781716,83.426752
119,District Headquarters Hospital Blood Bank,Andhra Pradesh,535003,,9440070099,,,bloodbankdhvzm@gmail.com,,bloodbankdhvzm@gmail.com,Government,NO,58/VZM/AP/97/BB/R,27.01.1998,01.01.2017,18.110022,83.388433
120,Indian Red Cross Society Blood Bank,Andhra Pradesh,535003,08922 272700,8142578999,,,"secretaryredcrossvizianagaram@gmail.com,",,dr.cvgreddy@gmail.com,Charity,NO,10/VZ/AP/2006/BB/G,02.12.2006,01.11.2011,18.106658,83.395551
