Sr No, Blood Bank Name, State, District, City, Address, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude,label
17,"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,CHITTOOR,Madnapalli,"Area Hospital, Patel Road, Madanapalli.
",MBBS,Government,NO,NO,24X7,18/CP/AP/2009/BB/G,22.04.2009,21.04.2014,13.556927,78.50085,0
18,"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,CHITTOOR,Tirumala,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,13.677292,79.3487,0
19,SVRRGGH - Model Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"S.V.R.R. Government General Hospital, Tirupati
","MBBS, MD (Pathology)",Government,YES,NO,24x7,18/CT/AP/95/BB/CP,12.09.2011,09.10.2016,13.644382,79.407003,0
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,13.637934,79.403917,0
21,Govt Maternity Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Ruia Hospital Road, Tirupati",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,13.639418,79.409372,0
22, TTD Central Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",MBBS,Charity,NO,NO,24x7,85/CH/AP/BB/1997/R,07.07.1997	,01.01.2018,13.642148,79.421067,0
23,S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,CHITTOOR,Tirupati,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",MBBS,Charity,YES,YES,24 hrs,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
24,Government Hospital,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,16.587432,82.008431,0
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,EAST GODAVARI,Amalapuram,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.","B.Sc, MBBS, MD (Pathologist), ",Charity,YES,NO,24x7,5/EG/AP/2004/BB/R,27.05.2004			,26.05.2019,16.592169,82.024025,0
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Ground Floor Area Hospital, Amalapuram","MBBS, DLO",Government,NO,NO,24x7,8/EG/AP/2006/BB/G,28.08.2006,28.08.2019,16.575367,81.998101,0
27,"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,EAST GODAVARI,Kakinada,"Government General Premises, Ground Floor, Kakinada",MBBS,Charity,YES,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,16.955537,82.22748,0
28,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,EAST GODAVARI,Kakinada,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada","MBBS, DCP",Charity,YES,YES,24x7,14/EG/AP/2003/BB/G				,02.09.2003 ,28.08.2018,16.989065,82.247465,0
29,M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,EAST GODAVARI,Kakinada,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
",MBBS,Charity,NO,NO,24x7,148/EG/AP/2000/BB/,07.03.2001	,15.03.2019,0.0,0.0,0
30,District Headquarters Hospital,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,17.019708,81.791631,0
31,M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",MBBS,Private,YES,NO,24 Hours,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
32,"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",MBBS,Private,NO,NO,24x7			,127/EG/AP/98/BB/R	,21.01.1992,04.12.2018,0.0,0.0,0
33,M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",MBBS MD Microbiology; Diploma In medical Virology,Charity,YES,YES,24x7	,4/EG/AP/2007/BB/G	,16.03.2007,15.03.2017,17.00787,81.785213,0
34,M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,EAST GODAVARI,Tuni,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
","MBBS, DCP",Government,NO,NO,24x7,14/EG/AP/2009/BB/G			,04.09.2009,03.09.2019,17.354937,82.541241,0
35,M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,EAST GODAVARI,Tuni,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",MBBS,Charity,NO,NO,24x7	,16/EG/AP/2009/BB/G			,28.08.2009,28.08.2019,0.0,0.0,0
36,Government General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
","MBBS, MD (Pathology)",Government,YES,NO,24x7	,81/GNT/AP/97/BB/R,9.03.1997,31.12.2016	,16.299747,80.443689,0
37,Indian Red Cross Society,Andhra Pradesh,GUNTUR,Guntur,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",MBBS,Charity,YES,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,16.306653,80.43654,0
38,Indian Red Cross Society Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"Zilla Parishad Compound, Nagarampalem, GUNTUR
",MBBS,Charity,NO,NO,24x7	,15/GN/AP/2005/BB/G,23.01.2006,22.01.2011,16.306653,80.43654,0
39,Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Somuvari Street, Kothapeta, Guntur",MBBS,Charity,YES,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
40,Padmavathi Day & Night Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",MBBS,Private,YES,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
41,M/s. Needs Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
",MBBS ,Charity,YES,YES,24x7,07/GN/AP/2008/BB/G,23.06.2008	,23.06.2018 	,16.29882,80.448888,0
42,M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"4th Floor, Behind Sivalayam Temple, Kothapeta
",MBBS,Private,YES,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
43,Saint Joseph General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
","MBBS, DGO",Charity,NO,NO,24x7				,92/GNT/AP/97/BB/R,17.07.1997	,01.01.2018,16.297514,80.440648,0
44,NTR Memorial Trust Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Door No. 13-2-87, 1st Line G. V. Thota",MBBS,Charity,YES,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
45,Katuri Medical College and Hospital Blood Bank ,Andhra Pradesh,GUNTUR,Guntur Rural,"Katuri Nagar, Chinakondrupadu, Guntur
",MD (Pathology) ,Private,YES,NO,24x7	,15/GN/AP/2003/BB/G,30.09.2003,30.09.2018	,16.227872,80.30947,0
46,NRI Medical College and General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur Rural,"Mangalagiri Mandalam, Chinakakani, Guntur
","MBBS, DCP",Private,YES,NO,24X7,11/GN/AP/2003/BB/CP,18.07.2003			,03.04.2015,16.413675,80.555675,0
47,Manipal Hospital Bloodbank,Andhra Pradesh,GUNTUR,Guntur Rural,"Soumyanagar, Tadepalli, Guntur","MBBS, MD (Pathology) ",Private,YES,YES,24x7	,24/GN/AP/2009/BB/G,29.10.2010			,28.10.2015,16.484433,80.617219,0
48,Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,GUNTUR,Narasaraopeta,"Area Hospital, Narasaraopeta ",MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,16.235919,80.048412,0
49,NRT Blood Bank,Andhra Pradesh,GUNTUR,Narasaraopeta,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
","MBBS, DA",Private,YES,YES,24X7,04/GNT/AP/2014/BB/G,07.01.2015			,06.01.2020,16.193331,80.019956,0
50,Anjireddy Multi Specality Blood Bank ,Andhra Pradesh,GUNTUR,Piduguralla,"Gaganamma Temple, Piduguralla
",MBBS,Private,YES,NO,24X7,03/GNT/AP/2014/BB/G,12.11.2014,12.11.2019,16.478789,79.893642,0
51,Red Cross Blood Bank,Andhra Pradesh,GUNTUR,Repalle," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
","MBBS, DCH",Charity,NO,NO,24x7,09/GNL/2006/AP/BB/R,03.11.2006	,02.11.2016,16.017425,80.829475,0
52,Area Hospital (Repeated),Andhra Pradesh,GUNTUR,Tenali,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,16.239531,80.64934,0
53,APVVP District Hospital Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",MBBS,Government,YES,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
54,Rudhira Voluntary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",MBBS,Private,NO,NO,24x7,13/GNT/AP/2010/BB/CP,20.08.2010,21.03.2019,16.243428,80.646397,0
55,Best Rotary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",MBBS	,Private,NO,NO,24X7,2/GNT/AP/2010/BB/G,27.02.2010	,26.02.2015,16.251179,80.64934,0
56,Area Hospital Blood Bank,Andhra Pradesh,KRISHNA,Gudivada,Gudivada,"MBBS, Diploma in Orthopaedics",Government,NO,NO,24x7,84/KR/AP/97/BB/R,17.04.1997,31.12.2017,16.349045,81.049715,0
57,Dr. Pattabhi Red Cross Blood Bank ,Andhra Pradesh,KRISHNA,Machilipatnam,"DM & HO Campus, Machilipatnam","MBBS, DA, DLO",Charity,NO,NO,24x7,11/K.R/AP/2004/BB/G,10.08.2004,21.09.2015,16.190546,81.136154,0
58,Government General Hospital (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,16.513339,80.618989,0
59,Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,KRISHNA,Vijayawada,Machilipatnam,MD D ORTHO,Government,NO,NO,24x7,LIC NO.71/KR/AP/1997/BB/R DT. 31-12-2017.,1/1/2012,31-12-2016,16.176867,81.138647,0
60,Rotary Red Cross Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

",MBBS,Charity,YES,NO,24x7,2/HD/AP/2002/BB/G		,18.02.2002,17.02.2017,16.506174,80.648015,0
61,Vijaya Sri Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",MBBS,Charity,YES,YES,24x7,14/KR/AP/2005/BB/CP,29-4-2013,28-4-18,16.51304,80.635644,0
62,Lions Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",MBBS,Charity,NO,NO,24x7,22/KR/AP/2009/BB/G,18.12.2009,17.12.2014,16.506174,80.648015,0
63,University General Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Ring Road, Gunadala, Vijayawada","MBBS, MD (Bio-chemistry)",Government,NO,NO,24x7			,66/KR/AP/97/BB/CP,28.01.1997,31.12.2017	,16.516111,80.670085,0
64,M/s. Chaitanya Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
",MBBS (MD Pathology),Charity,YES,YES,24x7,19/KR/AP/2010/BB/G,21.12.2010,20.12.2019,16.498839,80.655488,0
65,Nagarjuna Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Kanuru, Vijayawada",MBBS,Private,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
66,Saint Ann&#39;s Hospital Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,"Punnammathota, Bandhar Road, Vijayawada - 2
",MBBS,Private,NO,NO,24x7	,163/KR/AP/2001/BB/R,07.08.2001		,31.12.2017,0.0,0.0,0
67,Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,"26-5-5, G.S. Raju Road, Vijayawada ",MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
68,Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,Chinnaoutapalli. ,"MBBS, MD (Pathology)",Private,YES,NO,24x7	,07/KR/AP/2003/BB/R,08.04.2003,09.04.2018,16.551655,80.832047,0
69,Bethesda Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,16.512971,80.632664,0
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,KRISHNA,Vijayawada,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",MBBS,Charity,YES,YES,24x7,08/KR/AP/2005/R,14.12.2005,13.12.2015,16.510309,80.63251,0
71,Suraksha Voluntary Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
","MBBS, MS",Charity,YES,NO,24x7	,03/VJ/AP/2009/BB/CP,22.04.2009,02.05.2017,16.51343,80.632861,0
72,M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,KRISHNA,Vijayawada,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
","MBBS, MD (Pathology)",Private,YES,YES,24x7,01/VJ/AP/2014/BB/G,22.05.2014,21.05.2019,0.0,0.0,0
73,M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,KRISHNA,Vijayawada,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",MBBS,Private,YES,NO,24x7,07/KN/AP/2012/BB/G,1/1/2012,31-12-2016,0.0,0.0,0
74,"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",MBBS,Government,NO,NO,24x7,26/KNL/AP/2009/BB/G,12/10/2010,11/10/2015.   SENT FOR RENEWAL ON 10/09/2015 ,15.632223,77.272837,0
75,M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,KURNOOL,Adoni,"First Floor, Government Area Hospital, Adoni, Kurnool
",MBBS,Charity,NO,NO,24x7,26/KNL/AP/2009/BB/G,12.10.2010,11.10.2015,15.632223,77.272837,0
76,M/s. Government General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,kurnool,MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,15.820654,78.038088,0
77,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
","MBBS, MD (Pathology)",Charity,YES,YES,24x7	,3/KL/AP/2004/BB/R	,03.03.2004,14.03.2019,15.816357,78.040317,0
78,M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
79,M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
80,M/s. R.R. Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool","MBBS, MS",Private,YES,YES,24x7	,16/KNL/AP/2009/BB/G,14.07.2009,14.07.2019,15.82872,78.035743,0
81,District Hospital Blood Bank ,Andhra Pradesh,KURNOOL,Nandyal,"District Hospital, Noonepalli, Nandyal, Kurnool
","MBBS, MD (Pathology)",Government,NO,NO,24x7,128/KL/AP/2000/BB/G,30.11.2000,31.12.2016,15.469336,78.482935,0
82,M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Nandyal,"(Shafa Educational Society) NH-18, Nandyal",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
83,Government Hospital Blood Bank,Andhra Pradesh,KURNOOL,Srisailam Project,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,16.0833,78.8667,0
84,M/s. Area Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Chirala,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",MBBS,Government,NO,NO,24x7,88/PK/AP/97/BB			,17.04.1997,30.07.2017,15.825971,80.36127,0
85,Indian Red Cross Society Blood bank,Andhra Pradesh,PRAKASAM,Markapur,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",MBBS,Charity,NO,NO,24x7,14/PS/AP/2008/BB/G,13.08.2008,12.08.2013,15.736154,79.269125,0
86,M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",MBBS,Government,NO,NO,24x7,04/PRK/AP/2011/BB/G,19/05/2011,18/05/2016,15.487882,80.047144,0
87,Indian Red Cross Society Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",MBBS,Charity,NO,NO,24x7,135/PS/AP/99/BB/R,14.06.1999,29.12.2012,15.505723,80.049922,0
88,M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",MBBS MD (Gen.Med),Charity,NO,NO,24x7	,07/PRK/AP/2011/BB/G,03.10.2011,02.10.2016		,15.481367,80.05908,0
89,M/s. Belief Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",MBBS (Orthopaedics),Charity,YES,YES,24x7			,18/PRK/AP/2009/BB/G	,1/1/2012,31-12-2016,15.481367,80.05908,0
90,Government Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Gudur,"Area Hospital Compound, Gudur
","MBBS,DTCD;",Government,NO,NO,24x7,130/NL/AP/2000/BB/R,1/1/2012,31-12-2016,14.146545,79.848756,0
91,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,SPSR NELLORE,Kavali,"Survey No.1083/3, R.D Office Compound, Kavali.",MBBS,Charity,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
92,M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,Area Hospital Compound Kavali,MBBS,Government,NO,NO,24x7,DL-41-MB/SLA/CLAA/WB,1/1/2012,31-12-2016,0.0,0.0,0
93,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,"Survey No.1083/3, R.D. Office Compound, Kavali
",MBBS,Charity,NO,NO,24x7,06/NL/AP/2011/BB/G	,20.10.2011,19.10.2016,14.913181,79.99298,0
94,Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",MBBS,Charity,YES,NO,24x7,95/NL/AP/97/BB/R,17.07.1997	,31-12-2016,14.426777,79.959008,0
